mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_module__num_encoder_layers,param_module__nhead,param_module__dropout,param_module__dim_feedforward,param_module__d_model,param_max_epochs,param_lr,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
45.11851277351379,22.103163065266763,0.6444668769836426,0.12372924417001205,1,2,0.2,128,16,10,0.0005,64,"{'module__num_encoder_layers': 1, 'module__nhead': 2, 'module__dropout': 0.2, 'module__dim_feedforward': 128, 'module__d_model': 16, 'max_epochs': 10, 'lr': 0.0005, 'batch_size': 64}",0.6757369614512472,0.5256673511293635,0.6804830541488119,0.6396761133603239,0.6243088745197263,0.6291744709218946,0.055943397478251805,6
115.31570539474487,55.62498892531572,0.848840856552124,0.062151162383400176,1,4,0.1,128,32,20,0.0001,64,"{'module__num_encoder_layers': 1, 'module__nhead': 4, 'module__dropout': 0.1, 'module__dim_feedforward': 128, 'module__d_model': 32, 'max_epochs': 20, 'lr': 0.0001, 'batch_size': 64}",0.6755164558950594,0.5318496650391734,0.6804830541488119,0.6465941011235955,0.6097369454259913,0.6288360443265264,0.05464971431779224,7
189.83799881935118,91.11177215060286,1.2192596912384033,0.12290449819583027,2,4,0.1,64,16,20,0.001,64,"{'module__num_encoder_layers': 2, 'module__nhead': 4, 'module__dropout': 0.1, 'module__dim_feedforward': 64, 'module__d_model': 16, 'max_epochs': 20, 'lr': 0.001, 'batch_size': 64}",0.675277908251135,0.5373723305478181,0.5797402597402598,0.5446009389671361,0.5645266594124048,0.5803036193837506,0.04977373270297479,10
46.33964176177979,22.09135874926302,0.5978434085845947,0.01343538642503116,1,2,0.2,128,16,10,0.001,64,"{'module__num_encoder_layers': 1, 'module__nhead': 2, 'module__dropout': 0.2, 'module__dim_feedforward': 128, 'module__d_model': 16, 'max_epochs': 10, 'lr': 0.001, 'batch_size': 64}",0.6628105906313646,0.6080736821477563,0.6804830541488119,0.6867245657568237,0.6291218969988885,0.653442757936729,0.030253826055918663,3
158.99823236465454,83.94686602475741,0.9512886047363281,0.18437579254085887,1,2,0.1,128,32,20,0.0001,32,"{'module__num_encoder_layers': 1, 'module__nhead': 2, 'module__dropout': 0.1, 'module__dim_feedforward': 128, 'module__d_model': 32, 'max_epochs': 20, 'lr': 0.0001, 'batch_size': 32}",0.6650996920084293,0.5856864154430639,0.6796692151661726,0.6366863905325444,0.5931705339953389,0.6320624494291098,0.03753015317554376,4
104.60253548622131,56.05381971048742,0.7544573307037353,0.09781729250156665,1,2,0.2,64,32,20,0.001,64,"{'module__num_encoder_layers': 1, 'module__nhead': 2, 'module__dropout': 0.2, 'module__dim_feedforward': 64, 'module__d_model': 32, 'max_epochs': 20, 'lr': 0.001, 'batch_size': 64}",0.6570539079141406,0.5878554317258619,0.6246743580200966,0.6568510638297873,0.5390616167326173,0.6130992756445007,0.04494226917349028,8
264.781952047348,121.64194769763112,1.3108176231384276,0.16486671203422418,2,2,0.1,64,16,20,0.0001,32,"{'module__num_encoder_layers': 2, 'module__nhead': 2, 'module__dropout': 0.1, 'module__dim_feedforward': 64, 'module__d_model': 16, 'max_epochs': 20, 'lr': 0.0001, 'batch_size': 32}",0.6757369614512472,0.6774599182646966,0.6804830541488119,0.6867245657568237,0.6060546683648477,0.6652918335972854,0.02985411165920586,2
178.49235119819642,83.45000598170968,1.240011739730835,0.2500115694897194,1,4,0.1,64,32,20,0.0005,32,"{'module__num_encoder_layers': 1, 'module__nhead': 4, 'module__dropout': 0.1, 'module__dim_feedforward': 64, 'module__d_model': 32, 'max_epochs': 20, 'lr': 0.0005, 'batch_size': 32}",0.6208827097135392,0.586153045288912,0.6138519015231343,0.6110410400698554,0.5939879759519038,0.6051833345094689,0.012987802826893076,9
210.3613471508026,60.63361221672741,1.1974820137023925,0.5366485197953181,2,4,0.2,64,32,20,0.001,64,"{'module__num_encoder_layers': 2, 'module__nhead': 4, 'module__dropout': 0.2, 'module__dim_feedforward': 64, 'module__d_model': 32, 'max_epochs': 20, 'lr': 0.001, 'batch_size': 64}",0.6753939013874733,0.6327029228124152,0.6065780537498786,0.6678829090305994,0.5678158435102129,0.6300747260981159,0.039795617437269185,5
92.01815609931946,32.532382476314154,0.6343677997589111,0.1839282964637479,1,4,0.2,128,16,20,0.0001,64,"{'module__num_encoder_layers': 1, 'module__nhead': 4, 'module__dropout': 0.2, 'module__dim_feedforward': 128, 'module__d_model': 16, 'max_epochs': 20, 'lr': 0.0001, 'batch_size': 64}",0.6757369614512472,0.647381974248927,0.6805956186169798,0.6867245657568237,0.6839692283782733,0.6748816696904503,0.01422991142524201,1
